x,Q2 (GeV^2),rate (Hz),A_clean,A_noisy,A_simplified,dA_stat,dA_sys_uncor,dA_sys_cor,d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.715,25.25,0.8078,-0.00137185,-0.00092441,-0.00137159,0.000469409,3.88016e-06,6.13508e-06,-0.381871,0.169171,0.168813,0.168813,-0.388416,0.666149,0.00550643,0.00654519,0.0164161,-0.000357553
0.715,25.35,0.0728,-0.00137761,0.000589963,-0.00137736,0.00156364,3.89647e-06,6.16085e-06,-1.49903,0.169161,0.168805,0.168805,-1.50216,2.21,0.00550714,0.00312948,0.0164333,-0.000356236
0.725,20.95,0.3122,-0.00111739,-0.00118132,-0.00111716,0.000755069,3.16045e-06,4.99711e-06,0.278286,0.165383,0.164992,0.164992,0.269241,1.29827,0.00543412,0.00904502,0.0152138,-0.000390428
0.725,21.05,2.5487,-0.00112322,-0.00124087,-0.00112299,0.000264267,3.17695e-06,5.0232e-06,0.376874,0.16537,0.164982,0.164982,0.367405,0.452136,0.00543545,0.00946861,0.0152454,-0.000388276
0.725,21.15,1.0065,-0.00112905,-0.000421082,-0.00112883,0.000420529,3.19345e-06,5.04928e-06,-0.769451,0.165357,0.164971,0.164971,-0.774613,0.715942,0.00543678,0.00516256,0.0152767,-0.000386141
0.725,21.25,2.5133,-0.00113489,-0.000844473,-0.00113466,0.000266122,3.20995e-06,5.07537e-06,-0.274684,0.165345,0.164961,0.164961,-0.281549,0.450847,0.00543809,0.00686499,0.0153078,-0.000384024
0.725,21.35,2.4178,-0.00114072,-0.00091603,-0.0011405,0.000271327,3.22645e-06,5.10147e-06,-0.181896,0.165332,0.16495,0.16495,-0.189108,0.457423,0.0054394,0.00721267,0.0153387,-0.000381925
0.725,21.45,1.6827,-0.00114656,-0.00105488,-0.00114633,0.000325237,3.24296e-06,5.12757e-06,0.0169918,0.16532,0.16494,0.16494,0.00900696,0.545648,0.00544069,0.00798482,0.0153692,-0.000379843
0.725,21.55,2.5235,-0.00115239,-0.00123219,-0.00115217,0.000265584,3.25946e-06,5.15367e-06,0.302929,0.165307,0.16493,0.16493,0.293766,0.443416,0.00544197,0.00916294,0.0153996,-0.00037778
0.725,21.65,1.9763,-0.00115823,-0.00162143,-0.001158,0.000300107,3.27597e-06,5.17977e-06,1.10937,0.165295,0.164919,0.164919,1.09645,0.498648,0.00544324,0.0129173,0.0154296,-0.000375734
