x,d/u,d/u err
0.15,0.59869,0.293355
0.25,0.519997,0.0288629
0.35,0.389572,0.0161356
0.45,0.319917,0.0148126
0.55,0.248778,0.0157303
0.65,0.150768,0.0187498
0.75,0.149624,0.028449
0.85,0.0367761,0.0562593
0.95,1,0.986445
