x,Q2 (GeV^2),rate (Hz),A_clean,A_noisy,A_simplified,dA_stat,dA_sys_uncor,dA_sys_cor,d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.155,5.5,0.2252,-0.000363522,-0.000244103,-0.000356693,0.000889035,1.0282e-06,1.62572e-06,-0.159669,0.637362,0.582968,0.582968,-0.168633,7.16514,0.0082867,0.00896462,0.0214719,-0.0543944
0.165,6.5,3.1554,-0.000427876,-0.000573665,-0.00042076,0.000237507,1.21022e-06,1.91352e-06,1.86147,0.613684,0.566237,0.566237,1.84074,1.60006,0.0081531,0.0207334,0.0216319,-0.0474474
0.175,6.5,9.227,-0.000424757,-0.000348392,-0.000417905,0.000138891,1.2014e-06,1.89957e-06,0.137831,0.598083,0.552644,0.552644,0.127554,0.930202,0.00804619,0.0102771,0.0212568,-0.045439
0.185,6.5,10.6522,-0.000421374,-0.000328072,-0.000414746,0.000129266,1.19183e-06,1.88444e-06,0.03594,0.583399,0.539657,0.539657,0.026227,0.861366,0.00794176,0.00971303,0.0208013,-0.043742
0.185,7.5,7.1062,-0.000487777,-0.000591881,-0.000480686,0.000158265,1.37964e-06,2.1814e-06,1.26651,0.578157,0.537758,0.537758,1.24997,0.909692,0.00793006,0.0165403,0.0212635,-0.0403983
0.195,7.5,36.5541,-0.00048469,-0.000700822,-0.000477993,6.97806e-05,1.37091e-06,2.1676e-06,2.25639,0.563344,0.5254,0.5254,2.2332,0.398697,0.00783279,0.0231929,0.0209884,-0.037944
0.205,7.5,60.4079,-0.000481317,-0.000428756,-0.000474949,5.4282e-05,1.36137e-06,2.15252e-06,0.269139,0.549494,0.513579,0.513579,0.258392,0.308549,0.00773828,0.0107467,0.0206354,-0.0359148
0.215,7.5,59.2457,-0.00047777,-0.00047365,-0.000471693,5.48119e-05,1.35134e-06,2.13665e-06,0.513183,0.536378,0.50225,0.50225,0.501248,0.310142,0.00764629,0.0119349,0.0202335,-0.0341281
0.215,8.5,57.7499,-0.000543511,-0.000609193,-0.000537105,5.55172e-05,1.53728e-06,2.43066e-06,0.884314,0.532411,0.500785,0.500785,0.870321,0.276013,0.00764285,0.0139935,0.0207035,-0.0316258
0.225,8.5,202.546,-0.000540212,-0.000529283,-0.000534197,2.96443e-05,1.52795e-06,2.4159e-06,0.466106,0.519526,0.489967,0.489967,0.454467,0.146634,0.00755792,0.0116389,0.0204309,-0.0295585
0.235,8.5,268.543,-0.000536714,-0.000564359,-0.000531036,2.57452e-05,1.51806e-06,2.40026e-06,0.647747,0.507376,0.479587,0.479587,0.635213,0.126777,0.0074754,0.0125334,0.0201087,-0.0277892
