x,Q2 (GeV^2),rate (Hz),A_clean,A_noisy,A_simplified,dA_stat,dA_sys_uncor,dA_sys_cor,d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.15,5.5,0.2252,-0.000365088,-0.00024567,-0.000358225,0.000889035,1.03262e-06,1.63272e-06,-0.153811,0.645132,0.590337,0.590337,-0.162834,7.18347,0.00834368,0.00902345,0.0217389,-0.0547946
0.15,6.5,23.0345,-0.000431687,-0.000485837,-0.000423975,8.7905e-05,1.22099e-06,1.93056e-06,1.04058,0.639752,0.587794,0.587794,1.02511,0.598942,0.00831926,0.0154772,0.0219269,-0.0519583
0.15,7.5,43.6603,-0.000494063,-0.000459155,-0.000484162,6.38498e-05,1.39742e-06,2.20952e-06,0.445251,0.643821,0.585719,0.585719,0.433252,0.379425,0.00830413,0.0119986,0.0209518,-0.0581019
0.25,7.5,119.654,-0.000465066,-0.000437445,-0.0004599,3.85691e-05,1.3154e-06,2.07984e-06,0.345607,0.494725,0.466063,0.466063,0.334778,0.215373,0.0073453,0.0108291,0.0187,-0.0286622
0.25,8.5,724.856,-0.000531262,-0.000541948,-0.000526025,1.56703e-05,1.50263e-06,2.37587e-06,0.543151,0.490223,0.464735,0.464735,0.531276,0.0767105,0.00735582,0.0118753,0.0195694,-0.0254884
0.25,9.5,1707.71,-0.000596515,-0.00062892,-0.000591096,1.02093e-05,1.6872e-06,2.6677e-06,0.633057,0.487109,0.463593,0.463593,0.620684,0.0445337,0.00735969,0.0123729,0.0200871,-0.0235165
0.25,10.5,2160.11,-0.000659857,-0.000651283,-0.000654016,9.07747e-06,1.86636e-06,2.95097e-06,0.451962,0.485501,0.462596,0.462596,0.440534,0.0357755,0.00735557,0.0114275,0.0202066,-0.0229052
0.25,11.5,127.542,-0.000720467,-0.000717926,-0.000713857,3.73574e-05,2.03779e-06,3.22203e-06,0.476266,0.485402,0.46171,0.46171,0.464733,0.134614,0.00734298,0.0115332,0.0199163,-0.0236921
0.35,10.5,692.619,-0.000624623,-0.000644017,-0.000621543,1.60308e-05,1.7667e-06,2.7934e-06,0.466683,0.391575,0.379876,0.379876,0.455707,0.0610397,0.00672697,0.0109762,0.0176536,-0.0116986
0.35,11.5,3839.25,-0.00068869,-0.000686467,-0.000685609,6.80895e-06,1.94791e-06,3.07992e-06,0.38213,0.389813,0.379173,0.379173,0.37153,0.0235732,0.00674385,0.0106,0.018281,-0.0106398
