x,Q2 (GeV^2),rate (Hz),d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.155,5.5,0.2252,-0.159669,0.637362,0.582968,0.582968,-0.168633,7.16514,0.0082867,0.00896462,0.0214719,0.0543944
0.165,6.5,3.1554,1.86147,0.613684,0.566237,0.566237,1.84074,1.60006,0.0081531,0.0207334,0.0216319,0.0474474
0.175,6.5,9.227,0.137831,0.598083,0.552644,0.552644,0.127554,0.930202,0.00804619,0.0102771,0.0212568,0.045439
0.185,6.97273,17.7584,0.617671,0.580921,0.538759,0.538759,0.60473,0.625464,0.00793623,0.0129405,0.0210198,0.0421613
0.195,7.5,36.5541,2.25639,0.563344,0.5254,0.5254,2.2332,0.398697,0.00783279,0.0231929,0.0209884,0.037944
0.205,7.5,60.4079,0.269139,0.549494,0.513579,0.513579,0.258392,0.308549,0.00773828,0.0107467,0.0206354,0.0359148
0.215,8.05803,116.996,0.720285,0.534164,0.501432,0.501432,0.707201,0.206185,0.00764437,0.0130837,0.0204958,0.0327317
0.225,8.5,202.546,0.466106,0.519526,0.489967,0.489967,0.454467,0.146634,0.00755792,0.0116389,0.0204309,0.0295585
0.235,8.52123,273.181,0.62933,0.507319,0.479561,0.479561,0.616886,0.125424,0.00747535,0.0124436,0.0201153,0.0277581
0.245,9.04717,384.221,0.544292,0.494162,0.468954,0.468954,0.532361,0.0994526,0.00739612,0.0119309,0.0200042,0.0252079
0.255,9.5,477.789,0.501855,0.481551,0.458829,0.458829,0.490202,0.0840149,0.00732277,0.0116532,0.0199528,0.0227222
0.265,9.56203,612.856,0.405641,0.470712,0.449498,0.449498,0.394533,0.0734639,0.00725051,0.0111078,0.0196807,0.0212145
0.275,10.0044,777.333,0.493379,0.459431,0.440108,0.440108,0.481872,0.0622182,0.00718249,0.0115069,0.0195652,0.0193235
0.285,10.4764,886.88,0.438616,0.448412,0.431001,0.431001,0.427437,0.0551384,0.00711935,0.0111792,0.0195262,0.0174103
0.295,10.6398,1047.66,0.430736,0.438568,0.422438,0.422438,0.419644,0.0498064,0.00705598,0.0110916,0.0193198,0.0161291
0.305,11.039,1158.78,0.474935,0.428661,0.41395,0.41395,0.463668,0.0455199,0.00699662,0.0112669,0.0192134,0.014711
0.315,11.4539,1297.98,0.36855,0.418995,0.405655,0.405655,0.357848,0.0411738,0.00694063,0.0107013,0.0191512,0.0133395
0.325,11.7027,1367.3,0.318541,0.410006,0.397722,0.397722,0.308127,0.0391394,0.00688481,0.0104138,0.0190004,0.0122838
0.335,12.0076,1373.36,0.353704,0.401203,0.389924,0.389924,0.34316,0.0379534,0.00683126,0.0105437,0.0188758,0.0112791
0.345,12.4201,1404.73,0.379422,0.392509,0.382245,0.382245,0.368789,0.0361104,0.00678088,0.0106328,0.0188092,0.0102632
0.355,12.7609,1333.37,0.394568,0.384172,0.374775,0.374775,0.383898,0.035926,0.0067314,0.0106704,0.0187141,0.00939686
0.365,13.0084,1428.62,0.415023,0.376172,0.367504,0.367504,0.404295,0.0339501,0.00668239,0.0107281,0.018584,0.00866841
0.375,13.3479,1321.12,0.344639,0.368293,0.360341,0.360341,0.334285,0.0343053,0.00663562,0.0103539,0.0184885,0.00795208
0.385,13.7435,1350.34,0.317611,0.360525,0.353257,0.353257,0.307417,0.0328104,0.00659096,0.0101935,0.018426,0.00726725
0.395,13.9736,1332.88,0.341447,0.35311,0.346397,0.346397,0.331175,0.0323734,0.00654583,0.0102722,0.018305,0.00671297
0.405,14.2741,1256.17,0.371106,0.345801,0.33961,0.33961,0.360729,0.0325668,0.00650214,0.010377,0.0182022,0.00619093
0.415,14.6557,1211.3,0.345228,0.338563,0.332883,0.332883,0.335005,0.0321933,0.00646049,0.0102233,0.0181359,0.00568017
0.425,14.9505,1181.69,0.323223,0.33154,0.326313,0.326313,0.313135,0.0318168,0.00641929,0.0100875,0.0180511,0.00522622
0.435,15.2268,1112.03,0.31423,0.324676,0.319836,0.319836,0.304217,0.0321375,0.00637816,0.010013,0.017946,0.00483919
0.445,15.5711,1000.77,0.307167,0.317876,0.313417,0.313417,0.297214,0.0330308,0.0063388,0.00995316,0.0178723,0.00445862
0.455,15.8392,963.899,0.379528,0.311245,0.307128,0.307128,0.369271,0.0329755,0.00629966,0.0102565,0.0177807,0.00411686
0.465,16.1739,929.457,0.259773,0.30469,0.30089,0.30089,0.250097,0.0327901,0.00626174,0.00967577,0.0177063,0.0037999
0.475,16.4608,856.57,0.341963,0.298262,0.294742,0.294742,0.331943,0.0334818,0.00622395,0.0100197,0.0176176,0.00351986
0.485,16.6991,821.744,0.30866,0.291953,0.288695,0.288695,0.298823,0.033597,0.00618651,0.00983703,0.0175208,0.00325798
0.495,17.0584,772.282,0.269163,0.285693,0.282689,0.282689,0.259533,0.0338395,0.00615086,0.00962968,0.0174577,0.00300436
0.505,17.3624,671.004,0.240881,0.279544,0.276764,0.276764,0.231406,0.0355534,0.00611544,0.00947493,0.0173848,0.00277965
0.515,17.6201,632.642,0.317216,0.273492,0.270921,0.270921,0.307425,0.0359902,0.00607992,0.00979037,0.0172964,0.0025714
0.525,17.9077,589.815,0.325068,0.267626,0.265245,0.265245,0.315267,0.0365947,0.00604582,0.00980161,0.0172168,0.00238077
0.535,18.2119,543.309,0.235964,0.26186,0.259652,0.259652,0.226592,0.0373943,0.00601274,0.00937215,0.0171472,0.00220782
0.545,18.4898,512.556,0.277051,0.255971,0.253933,0.253933,0.267524,0.0377998,0.00597887,0.00952733,0.0170727,0.00203824
0.555,18.7232,448.676,0.244244,0.250044,0.248168,0.248168,0.23489,0.039822,0.00594394,0.00935327,0.0169771,0.00187631
0.565,19.0233,432.027,0.271121,0.244469,0.242736,0.242736,0.261675,0.0398495,0.00591209,0.00944616,0.0169088,0.00173341
0.575,19.301,379.82,0.244443,0.238901,0.237304,0.237304,0.235141,0.0417672,0.00588025,0.00930199,0.0168389,0.00159649
0.585,19.5864,354.172,0.279495,0.233411,0.231942,0.231942,0.270062,0.0425165,0.00584888,0.0094337,0.0167688,0.00146914
0.595,19.8501,313.653,0.269226,0.228005,0.226653,0.226653,0.259866,0.0444914,0.00581769,0.0093595,0.016692,0.00135176
0.605,20.1111,289.914,0.233904,0.222672,0.221432,0.221432,0.224713,0.04556,0.00578715,0.00919139,0.0166203,0.00124051
0.615,20.345,282.082,0.138938,0.217425,0.216287,0.216287,0.130188,0.0455569,0.00575673,0.00875057,0.01654,0.00113846
0.625,20.7036,234.329,0.313712,0.212234,0.211198,0.211198,0.304225,0.0490108,0.00572813,0.0094872,0.0164938,0.00103625
0.635,20.9355,211.194,0.20544,0.207143,0.206197,0.206197,0.196447,0.050914,0.00569888,0.00899253,0.0164197,0.000945779
0.645,21.1488,197.993,0.125291,0.202135,0.201272,0.201272,0.116665,0.0519731,0.00566965,0.00862575,0.0163355,0.000862584
0.655,21.38,178.816,0.162559,0.197212,0.196429,0.196429,0.153803,0.0539926,0.00564127,0.00875645,0.0162599,0.000783594
0.665,21.6558,155.206,0.252275,0.192362,0.191655,0.191655,0.243152,0.0570979,0.00561392,0.00912299,0.0161983,0.000707449
0.675,22.0074,137.214,0.17739,0.187575,0.186942,0.186942,0.168607,0.0595766,0.00558804,0.00878246,0.0161618,0.000633014
0.685,22.2021,121.071,0.196043,0.182913,0.182343,0.182343,0.187211,0.0627679,0.00556083,0.00883206,0.0160797,0.000569569
0.695,22.489,100.561,0.200725,0.178323,0.177816,0.177816,0.191897,0.0678638,0.00553521,0.00882866,0.0160247,0.000507337
0.705,22.6273,103.931,0.168331,0.173833,0.17338,0.17338,0.15966,0.066238,0.0055085,0.00867133,0.0159328,0.000452445
