x,Q2 (GeV^2),rate (Hz),d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.715,22.9592,87.7313,0.116951,0.169431,0.169033,0.169033,0.108502,0.0708899,0.00548459,0.00844839,0.0158935,0.000397754
0.725,23.2112,72.9648,0.333906,0.16512,0.164771,0.164771,0.324565,0.0767359,0.00546032,0.0093409,0.0158347,0.000348215
0.735,23.4919,65.0818,0.0889859,0.160899,0.160597,0.160597,0.0806952,0.0801197,0.00543693,0.00829067,0.0157848,0.000301968
0.745,23.6683,54.7045,0.351449,0.156819,0.156558,0.156558,0.342051,0.0866219,0.00541309,0.00939771,0.0157083,0.000261574
0.755,23.9989,45.6835,0.186244,0.152792,0.152571,0.152571,0.177565,0.0933236,0.0053913,0.00867917,0.0156713,0.000221828
0.765,24.0695,42.1624,0.248863,0.148929,0.14874,0.14874,0.23997,0.0966905,0.00536774,0.00889212,0.0155755,0.000188832
0.775,24.3464,35.4516,0.270854,0.145138,0.144982,0.144982,0.261871,0.104045,0.00534685,0.00898291,0.0155309,0.000156463
0.785,24.7252,31.9227,0.189242,0.141448,0.141321,0.141321,0.180625,0.107827,0.00532748,0.00861744,0.0155088,0.000126776
0.795,24.8301,24.6022,0.397115,0.137935,0.137833,0.137833,0.387648,0.122155,0.00530626,0.00946713,0.0154246,0.000102419
0.805,25.1803,19.8553,0.0581451,0.134484,0.134405,0.134405,0.0500756,0.133835,0.00528811,0.0080695,0.0154021,7.88313e-05
0.815,25.2547,18.2886,0.208143,0.131291,0.131231,0.131231,0.199431,0.138914,0.00526835,0.00871244,0.0153142,6.05883e-05
0.825,25.6261,13.9609,0.058186,0.12802,0.127978,0.127978,0.0501384,0.156407,0.00525143,0.00804761,0.0152983,4.22221e-05
0.835,25.8123,11.2978,0.272317,0.124987,0.124959,0.124959,0.263349,0.172432,0.00523382,0.00896812,0.0152402,2.77199e-05
0.845,26.0287,9.4689,0.27923,0.122088,0.122072,0.122072,0.270247,0.18652,0.00521735,0.00898333,0.0151925,1.54656e-05
0.855,26.2462,7.9284,0.123792,0.119337,0.119331,0.119331,0.115486,0.202061,0.00520153,0.00830631,0.0151426,5.51343e-06
0.865,26.549,6.1071,0.56089,0.116724,0.116727,0.116727,0.550729,0.227226,0.0051876,0.0101613,0.0151191,2.48492e-06
0.875,26.5774,4.6329,0.873807,0.114275,0.114284,0.114284,0.862029,0.260436,0.00517165,0.0117777,0.0150328,8.33474e-06
0.885,26.9315,3.7285,0.56011,0.111973,0.111986,0.111986,0.549903,0.285896,0.00516005,0.0102063,0.0150268,1.26089e-05
0.895,28.0545,1.481,-0.119337,0.109822,0.109837,0.109837,-0.126852,0.433246,0.00515706,0.00751494,0.0151958,1.52626e-05
0.905,29.2668,0.2453,0.328357,0.107843,0.107859,0.107859,0.319209,1.01565,0.00515504,0.00914842,0.0153672,1.6286e-05
