x,d/u,d/u err
0.155,1.44105e-08,0.516326
0.165,1,0.999788
0.175,0.137935,0.644375
0.185,0.535744,0.7469
0.195,1,0.109955
0.205,0.269153,0.255261
0.215,0.712676,0.214259
0.225,0.466109,0.141867
0.235,0.625193,0.131216
0.245,0.542115,0.101709
0.255,0.501855,0.0854757
0.265,0.404622,0.0722109
0.275,0.490831,0.0641718
0.285,0.438502,0.0563228
0.295,0.42945,0.0511082
0.305,0.474795,0.0480223
0.315,0.367027,0.0420209
0.325,0.318567,0.0392887
0.335,0.353702,0.0388616
0.345,0.378656,0.0377868
0.355,0.392927,0.0379532
0.365,0.415024,0.036478
0.375,0.344515,0.0357505
0.385,0.317434,0.0340514
0.395,0.340796,0.0340795
0.405,0.370567,0.0347924
0.415,0.34506,0.0341201
0.425,0.323119,0.0335428
0.435,0.314143,0.0337389
0.445,0.306111,0.0345287
0.455,0.378951,0.0357587
0.465,0.258629,0.0337165
0.475,0.341634,0.0357752
0.485,0.308152,0.0354284
0.495,0.268815,0.0350844
0.505,0.2404,0.036307
0.515,0.316466,0.0381364
0.525,0.323053,0.0389264
0.535,0.235396,0.0382003
0.545,0.276492,0.0394436
0.555,0.243781,0.0408619
0.565,0.270425,0.0414957
0.575,0.24424,0.0429464
0.585,0.277284,0.0444629
0.595,0.26873,0.0463297
0.605,0.228155,0.0465927
0.615,0.13769,0.0446831
0.625,0.309712,0.0521522
0.635,0.201227,0.0514995
0.645,0.123626,0.0506587
0.655,0.161627,0.0536763
0.665,0.246921,0.0591749
0.675,0.173413,0.0596352
0.685,0.194707,0.0635193
0.695,0.200144,0.068848
0.705,0.167043,0.0662867
0.715,0.11132,0.0689233
0.725,0.327056,0.082949
0.735,0.085952,0.0767476
0.745,0.335289,0.0940822
0.755,0.170271,0.0935404
0.765,0.244552,0.100676
0.775,0.257421,0.108988
0.785,0.180134,0.108707
0.795,0.391616,0.136112
0.805,0.0424088,0.119732
0.815,0.169947,0.138455
0.825,0.0423865,0.136675
0.835,0.218617,0.174882
0.845,0.218789,0.188364
0.855,0.0829057,0.181928
0.865,0.514658,0.260025
0.875,0.755508,0.311293
0.885,0.469637,0.312702
0.895,5.55112e-17,0.645112
0.905,0.278176,0.555517
