x,d_V,u_V,s_V,c_V,d_p,u_p,s_p,c_p,dV/uV,d,dbar,u,ubar,s,sbar,c,cbar,d_unc,dbar_unc,u_unc,ubar_unc,s_unc,sbar_unc,c_unc,cbar_unc,(dV/uV)_unc
0.155,0.3113205459558202,0.6261743999608613,0.0,0.0,0.4923247859297076,0.7523670501417603,0.06246010785795865,0.01410626521242425,0.4971786549805919,0.4018226659427639,0.0905021199869437,0.6892707250513108,0.06309632509044952,0.031230053928979325,0.031230053928979325,0.007053132606212125,0.007053132606212125,0.018482496732564947,0.013376302029985498,0.02039517615371647,0.009432941101808777,0.01203499835505184,0.01203499835505184,0.000698503803705528,0.000698503803705528,0.0405695453611705
0.165,0.30755304181780724,0.6298011530691735,0.0,0.0,0.4702231552273967,0.743787616149627,0.056478760341918226,0.013845719869436349,0.4883335642036011,0.388888098522602,0.08133505670479474,0.6867943846094002,0.05699323154022669,0.028239380170959113,0.028239380170959113,0.006922859934718174,0.006922859934718174,0.01810449520811156,0.012603004624291628,0.019133543370001622,0.00877992500708424,0.011083128655275977,0.011083128655275977,0.0007183169369185683,0.0007183169369185683,0.038642478983887715
0.175,0.3055058527958092,0.6346916956851486,0.0,0.0,0.4534571974833418,0.7386387863732841,0.050893765698071684,0.012477146158500537,0.4813452812960097,0.3794815251395755,0.07397567234376629,0.6866652410292163,0.051973545344067715,0.025446882849035842,0.025446882849035842,0.0062385730792502685,0.0062385730792502685,0.01792252761432697,0.012081421193379606,0.018271577368218973,0.008416579018523674,0.01041673601348466,0.01041673601348466,0.0006825518645846637,0.0006825518645846637,0.037316077235506985
0.185,0.30099109673223184,0.6354372543484775,0.0,0.0,0.4344873672856942,0.7298095740357086,0.04581227128402694,0.011639237117493068,0.4736755591090455,0.367739232008963,0.0667481352767312,0.682623414192093,0.04718615984361548,0.02290613564201347,0.02290613564201347,0.005819618558746534,0.005819618558746534,0.017524863260332153,0.011467365946720093,0.017310662435702957,0.008058123090326694,0.00969618717327535,0.00969618717327535,0.0006708365749641655,0.0006708365749641655,0.03590096651628703
0.195,0.2953702541146114,0.6337669043046483,0.0,0.0,0.4155814547218022,0.719396627854755,0.04117097893147411,0.010863182114700356,0.46605503081402383,0.3554758544182068,0.06010560030359543,0.6765817660797017,0.04281486177505337,0.020585489465737055,0.020585489465737055,0.005431591057350178,0.005431591057350178,0.017041536736026274,0.010863863009324268,0.01640859210272869,0.007750296207424019,0.009014411971270673,0.009014411971270673,0.0006602525667017122,0.0006602525667017122,0.034568106647260934
0.205,0.2905226465408531,0.6326403065075584,0.0,0.0,0.39940764659868494,0.7107370398883138,0.036982231201121436,0.009853907829324231,0.45922247373813524,0.344965146569769,0.05444250002891594,0.6716886731979361,0.039048366690377694,0.018491115600560718,0.018491115600560718,0.0049269539146621156,0.0049269539146621156,0.016634630260646106,0.010368740343049023,0.015704590524408084,0.007533106321486788,0.008455048004528547,0.008455048004528547,0.0006324304562914405,0.0006324304562914405,0.03346411119225866
0.215,0.28325321518642343,0.6270184698138849,0.0,0.0,0.38103038664104183,0.6978278993666404,0.03314363630095126,0.009198605792374505,0.45174620656788667,0.33214180091373263,0.04888858572730922,0.6624231845902626,0.03540471477637777,0.01657181815047563,0.01657181815047563,0.0045993028961872524,0.0045993028961872524,0.016036511061611122,0.009794043361509155,0.014934978930270222,0.007265275918329518,0.007848624673261204,0.007848624673261204,0.0006229215889667364,0.0006229215889667364,0.03226898845308261
0.225,0.2757348291984953,0.6202942977674781,0.0,0.0,0.36359820954344174,0.6845536563269441,0.029672799737709258,0.008524581004843459,0.44452259224516766,0.3196665193709685,0.043931690172473205,0.6524239770472111,0.03212967927973303,0.014836399868854629,0.014836399868854629,0.004262290502421729,0.004262290502421729,0.015436776086799012,0.009257848916468215,0.014268100987328471,0.007011592772083883,0.0072990860047959195,0.0072990860047959195,0.0006092941120829196,0.0006092941120829196,0.031174912137574944
0.235,0.2689245027575054,0.6142027484205115,0.0,0.0,0.34824351711399076,0.672745093396858,0.026565721546880923,0.00776699883095153,0.43784320967151924,0.3085840099357481,0.03965950717824267,0.6434739209086847,0.0292711724881732,0.013282860773440461,0.013282860773440461,0.003883499415475765,0.003883499415475765,0.014912089956369109,0.008795265512351767,0.013745221190940071,0.006790887275519262,0.006832696861074516,0.006832696861074516,0.0005860223720063603,0.0005860223720063603,0.030231788704365836
0.245,0.26019891492786124,0.6041399301829373,0.0,0.0,0.33127216373617047,0.6571713327028834,0.023720439615095013,0.0072132252339406995,0.4306931257615622,0.29573553933201585,0.0355366244041546,0.6306556314429104,0.02651570125997303,0.011860219807547506,0.011860219807547506,0.0036066126169703497,0.0036066126169703497,0.014268147100595423,0.00827837826350755,0.01319409873125508,0.006510752033938263,0.006341061174241424,0.006341061174241424,0.0005743741753769445,0.0005743741753769445,0.02924996491882932
