x,Q2 (GeV^2),rate (Hz),A_clean,A_noisy,A_simplified,dA_stat,dA_sys_uncor,dA_sys_cor,d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.175,2.95,0.8111,-0.000193125,-0.000130202,-0.000189505,0.000468453,5.46241e-07,8.63683e-07,-0.161873,0.61868,0.565264,0.565264,-0.170755,6.99287,0.00815406,0.00888262,0.0209285,-0.0534155
0.175,3.05,1.5572,-0.000199948,-0.000407194,-0.000196304,0.000338089,5.6554e-07,8.94197e-07,9.07482,0.616584,0.564656,0.564656,8.97227,4.87205,0.00814974,0.102547,0.0211272,-0.0519285
0.185,3.05,1.0666,-0.000198165,2.71565e-05,-0.000194636,0.00040851,5.60495e-07,8.8622e-07,-1.29686,0.601385,0.55133,0.55133,-1.30124,5.85831,0.00803789,0.00437892,0.0205758,-0.0500547
0.185,3.15,6.3853,-0.000204972,-8.42343e-05,-0.000201423,0.00016696,5.79747e-07,9.16661e-07,-0.627513,0.599432,0.550766,0.550766,-0.634329,2.31393,0.00803482,0.00681647,0.0207824,-0.0486663
0.185,3.25,4.0827,-0.000211754,-0.000348798,-0.00020818,0.000208799,5.98931e-07,9.46992e-07,3.65919,0.597662,0.550226,0.550226,3.62411,2.80003,0.00803174,0.0350815,0.020962,-0.047436
0.195,3.25,11.881,-0.000209944,-0.000588544,-0.000206505,0.000122399,5.93812e-07,9.389e-07,-48.7133,0.582947,0.537506,0.537506,-49.9388,1.6335,0.00792486,1.22543,0.0204511,-0.0454414
0.195,3.35,17.7255,-0.000216712,-0.000119249,-0.000213253,0.000100208,6.12955e-07,9.69166e-07,-0.406783,0.581289,0.537003,0.537003,-0.414473,1.29526,0.00792283,0.00768974,0.0206388,-0.0442859
0.195,3.45,1.9383,-0.000223455,-0.000199022,-0.00021997,0.000303035,6.32025e-07,9.99319e-07,0.292779,0.579782,0.536521,0.536521,0.281804,3.79771,0.0079207,0.0109751,0.020802,-0.0432614
0.205,3.35,6.4005,-0.000214876,-0.000411124,-0.000211558,0.000166762,6.07762e-07,9.60956e-07,6.21447,0.567136,0.524841,0.524841,6.153,2.14567,0.00781989,0.0614742,0.0201347,-0.042295
0.205,3.45,38.0986,-0.000221626,-0.000195758,-0.000218291,6.83516e-05,6.26854e-07,9.91143e-07,0.264235,0.565596,0.524373,0.524373,0.253478,0.852557,0.00781882,0.0107573,0.0203274,-0.0412224
0.205,3.55,15.9985,-0.000228356,-0.000340072,-0.000225001,0.000105478,6.45889e-07,1.02124e-06,2.48558,0.564177,0.523922,0.523922,2.46072,1.27667,0.0078176,0.0248627,0.0204987,-0.040255
0.205,3.65,0.4051,-0.00023506,0.000430794,-0.000231679,0.00066286,6.64849e-07,1.05122e-06,-2.31974,0.562885,0.523488,0.523488,-2.32141,7.79282,0.0078162,0.0016742,0.0206477,-0.039397
0.215,3.45,1.3869,-0.000219775,-7.71039e-05,-0.000216586,0.000358245,6.21616e-07,9.82862e-07,-0.7234,0.551987,0.51273,0.51273,-0.729712,4.44903,0.00771982,0.00631226,0.019834,-0.0392568
