x,d/u,d/u err
0.175,1,0.738028
0.185,4.80171e-14,0.765632
0.195,2.18378e-06,0.750915
0.205,1,0.646973
0.215,1,0.12596
0.225,0.183893,0.296126
0.235,0.640046,0.269446
0.245,0.661459,0.215961
0.255,0.345643,0.140926
0.265,0.432226,0.124647
0.275,0.593347,0.125652
0.285,0.471558,0.103204
0.295,0.576715,0.103644
0.305,0.378048,0.0804013
0.315,0.404027,0.0662039
0.325,0.358771,0.0620624
0.335,0.468003,0.057275
0.345,0.357486,0.0509699
0.355,0.277977,0.0482206
0.365,0.328731,0.0474305
0.375,0.352702,0.0457639
0.385,0.378772,0.0476724
0.395,0.34672,0.0431854
0.405,0.363629,0.0432205
0.415,0.284557,0.0411516
0.425,0.314647,0.0410602
0.435,0.357622,0.0400847
0.445,0.33917,0.040051
0.455,0.309536,0.0395971
0.465,0.309475,0.0401321
0.475,0.285166,0.0396666
0.485,0.311725,0.0411912
0.495,0.299463,0.0408985
0.505,0.355208,0.042497
0.515,0.189952,0.0390867
0.525,0.338857,0.0442334
0.535,0.291526,0.042168
0.545,0.304178,0.0437716
0.555,0.257126,0.0431338
0.565,0.194663,0.0430434
0.575,0.291979,0.04579
0.585,0.254492,0.0462673
0.595,0.254879,0.0478638
0.605,0.194119,0.0462732
0.615,0.248236,0.0507654
0.625,0.211201,0.0518588
0.635,0.269532,0.0545991
0.645,0.209283,0.0532721
0.655,0.243248,0.0568662
0.665,0.178896,0.0572567
0.675,0.216185,0.0606348
0.685,0.117744,0.0599595
0.695,0.0904776,0.0602994
0.705,0.245638,0.0690262
0.715,0.304123,0.0729608
0.725,0.000481801,0.999703
0.735,0.144621,0.0816918
0.745,0.151647,0.0978956
0.755,0.165602,0.113835
0.765,0.118337,0.134828
0.775,5.55112e-17,0.168349
0.785,0.536267,0.318076
0.795,7.53286e-13,0.891419
