x,d_V,u_V,s_V,c_V,d_p,u_p,s_p,c_p,dV/uV,d,dbar,u,ubar,s,sbar,c,cbar,d_unc,dbar_unc,u_unc,ubar_unc,s_unc,sbar_unc,c_unc,cbar_unc,(dV/uV)_unc
0.175,0.2993181848931963,0.6420189640876521,0.024097724319872626,1.0659000982196631e-09,0.49341290329937837,0.7650901838885236,0.0687426384637732,0.009506075364354622,0.4662139307964922,0.3963655440962873,0.09704735920309107,0.7035545739880879,0.061535609900435696,0.04642018139182291,0.022322457071950286,0.00475303821512736,0.0047530371492272615,0.009432920341089527,0.005688379449345895,0.006935875491622069,0.004106178996448548,0.00835982647162091,0.004691174883072968,0.0018108944553241128,0.0018108953332235417,0.018128230899748264
0.185,0.2987993360114285,0.6468098018216405,0.023519008289419965,8.549869883259231e-10,0.4752084905696181,0.7582809655152863,0.0638498141553549,0.010306593641918778,0.46195857757551917,0.3870039132905233,0.0882045772790948,0.7025453836684634,0.05573558184682294,0.043684411222387434,0.02016540293296747,0.0051532972484528835,0.005153296393465895,0.009206913923325904,0.005352500481727219,0.006671320522180431,0.003907254135933147,0.008138080830701985,0.004410986904303538,0.00191592894693335,0.0019159294641755379,0.017366235657549158
0.195,0.2983945042989862,0.651460428323884,0.02294016839913742,-2.512804599813512e-10,0.45934580950572745,0.7527124047682504,0.059347081062642686,0.010582140970513888,0.4580393394986604,0.3788701569023568,0.08047565260337067,0.7020864165460672,0.050625988222183275,0.041143624730890054,0.018203456331752632,0.005291070359616714,0.005291070610897174,0.009053634389738626,0.005102145122300794,0.0065036742100712495,0.0037510510933885435,0.007984053241903578,0.004196421017325195,0.002025309127138438,0.0020253087555063406,0.016803041297951554
0.205,0.2970171384418007,0.6543578655963606,0.022240082938837946,7.831179281436729e-11,0.44339744873727854,0.7460407140851227,0.05513548400804533,0.01086642257706083,0.45390627064765077,0.37020729358953963,0.07319015514773891,0.7001992898407416,0.045841424244381104,0.038687783473441636,0.01644770053460369,0.0054332113276863115,0.005433211249374519,0.008909823343692634,0.004893283149490367,0.006400481917465609,0.0036074161261036262,0.007839650365925273,0.0040088555355573645,0.0021373142743926375,0.0021373149106779744,0.01634909769736349
0.215,0.2947146511998519,0.655553736182312,0.02144029021927155,5.434269163134831e-10,0.42741805373842917,0.7382944294135791,0.05118806777273012,0.011155730547765983,0.44956596985649794,0.36106635246914054,0.06635170126928862,0.6969240827979456,0.041370346615633595,0.03631417899600083,0.014873888776729283,0.0055778655455964495,0.005577865002169533,0.008775366384911868,0.004728333725274344,0.006365584446849898,0.003480456344802315,0.0077007604243617776,0.00384723360121069,0.0022505473724834246,0.002250546505284913,0.01599897459401425
0.225,0.2915364936375159,0.6550996718553125,0.02056172670075893,2.59271633676339e-10,0.4114664885844517,0.729511600211406,0.047486136901640025,0.011447882609271555,0.4450261634414398,0.3515014911109838,0.059964997473467875,0.6923056360333593,0.03720596417804675,0.034023931801199475,0.013462205100440546,0.005723941434271594,0.0057239411749999605,0.008650413963940203,0.004605024767706918,0.006394245961236072,0.00337186950096064,0.00756285861640847,0.003709161497115932,0.002363971152425928,0.002363971758709492,0.01574465062699158
0.235,0.28609003005469347,0.6505280566802714,0.01948281618259056,6.732034426443212e-10,0.39336751442870166,0.7167948888483346,0.043895343633115695,0.011961877144651856,0.4397812317498615,0.33972877224169756,0.053638742187004075,0.683661472764303,0.03313341608403163,0.03168907990785313,0.012206263725262567,0.005980938908927649,0.0059809382357242065,0.008485986557383321,0.004485767024718798,0.00645507756587857,0.003257704269432292,0.007374882669151092,0.0035666482757357376,0.002473886611320411,0.0024738869599740775,0.015543763180808716
0.245,0.27682359824401154,0.6388436536244138,0.01809584832827782,-1.332882511827227e-09,0.3710961647363081,0.6968906953468885,0.040285436768215,0.01279202429127154,0.4333197906459293,0.3239598814901598,0.04713628324614829,0.6678671744856511,0.029023520861237422,0.02919064254824641,0.011094794219968588,0.006396011479194515,0.006396012812077027,0.008237992923742658,0.0043309022183193255,0.006512769747519799,0.0031155480708240845,0.007085794530476339,0.003395203473645223,0.002573841359918794,0.002573840766793897,0.015369589068339051
0.255,0.269208476434381,0.6296899971212538,0.016930104979366978,-1.739415347867812e-10,0.3528450168645538,0.6808919353145334,0.0371003429771106,0.013193183982160024,0.42752541356082857,0.3110267466494674,0.041818270215086405,0.6552909662178936,0.025600969096639753,0.02701522397823879,0.010085118998871814,0.006596591904109245,0.0065965920780507795,0.008084622860349682,0.004236833027946136,0.006618566161075382,0.0030206626865448053,0.00686290621545916,0.0032766783144190744,0.0026758946994718128,0.00267589469838924,0.015313788966591392
0.265,0.2628097604304978,0.6225052387154886,0.015922175232788556,-9.480363941799519e-10,0.3375255458077962,0.6678811401631257,0.03427585499981135,0.013368768972235252,0.42218080119742263,0.300167653119147,0.037357892688649176,0.6451931894393071,0.022687950723818604,0.025099015116299955,0.009176839883511397,0.006684384012099429,0.006684384960135823,0.00800005157381866,0.0041792552300616,0.006752211656533547,0.002955215611224952,0.006685093365963949,0.0031926924894615754,0.0027807815750725807,0.0027807812819861323,0.015336805234784827
