x,Q2 (GeV^2),rate (Hz),A_clean,A_noisy,A_simplified,dA_stat,dA_sys_uncor,dA_sys_cor,d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.15,2.5,0.8111,-0.000166438,-0.000103496,-0.000162737,0.000468453,4.70757e-07,7.44332e-07,-0.242148,0.670324,0.60458,0.60458,-0.250811,8.44026,0.00848177,0.00866243,0.0214263,-0.065744
0.15,3.5,44.6367,-0.000233028,-0.000271874,-0.00022834,6.31476e-05,6.59104e-07,1.04213e-06,1.21223,0.657091,0.597986,0.597986,1.19562,0.806334,0.00841612,0.0166155,0.0217658,-0.0591049
0.25,3.5,790.317,-0.000216794,-0.000208653,-0.000214109,1.50073e-05,6.13185e-07,9.69531e-07,0.411371,0.507513,0.475341,0.475341,0.400194,0.181101,0.00739962,0.0111777,0.0182554,-0.0321724
0.25,4.5,5632.52,-0.00028304,-0.000279124,-0.000280243,5.62149e-06,8.00559e-07,1.26579e-06,0.461793,0.497783,0.472025,0.472025,0.450285,0.0520719,0.00741557,0.0115084,0.0199788,-0.0257578
0.25,5.5,161.939,-0.00034643,-0.000368414,-0.000343179,3.31534e-05,9.79851e-07,1.54928e-06,0.666482,0.493996,0.469569,0.469569,0.653894,0.250505,0.0074037,0.0125881,0.0202099,-0.0244267
0.35,4.5,4293.42,-0.000265055,-0.00028528,-0.000263509,6.43874e-06,7.49688e-07,1.18536e-06,0.590582,0.401154,0.387317,0.387317,0.579031,0.0578178,0.00673195,0.011551,0.0165266,-0.0138367
0.35,5.5,23823.6,-0.000329177,-0.000326591,-0.000327616,2.73338e-06,9.31054e-07,1.47213e-06,0.377983,0.396716,0.385388,0.385388,0.367392,0.0198805,0.00677177,0.0105904,0.018048,-0.0113281
0.35,6.5,6024.22,-0.000392809,-0.000392629,-0.00039121,5.43566e-06,1.11103e-06,1.7567e-06,0.392526,0.393629,0.383869,0.383869,0.381815,0.0332391,0.00679398,0.0107106,0.0189744,-0.00976015
0.45,5.5,2941.9,-0.000311698,-0.000321118,-0.000310834,7.77837e-06,8.81616e-07,1.39396e-06,0.391299,0.323329,0.317199,0.317199,0.381105,0.0552595,0.00626322,0.0101931,0.0154295,-0.00612982
0.45,6.5,24528.6,-0.000373764,-0.000372919,-0.000372898,2.69381e-06,1.05716e-06,1.67152e-06,0.316084,0.321118,0.315959,0.315959,0.306161,0.0160659,0.00630492,0.00992288,0.0166789,-0.00515894
