x,d/u,d/u err
0.15,1,0.998442
0.25,0.465567,0.050072
0.35,0.399142,0.0202189
0.45,0.328095,0.0166003
0.55,0.264672,0.0168044
0.65,0.217336,0.0196469
0.75,0.136815,0.031846
