x,d/u,d/u err
0.175,1,0.617684
0.185,0.145992,0.927004
0.195,1,0.810187
0.205,0.958865,0.807816
0.215,0.692873,0.758152
0.225,0.538715,0.335604
0.235,0.408185,0.230278
0.245,0.0280507,0.545575
0.255,0.326047,0.150473
0.265,0.499003,0.133709
0.275,0.531503,0.122961
0.285,0.44259,0.099711
0.295,0.593074,0.101067
0.305,0.524387,0.0833411
0.315,0.395254,0.0652922
0.325,0.375956,0.0629322
0.335,0.455851,0.0580943
0.345,0.440877,0.0535879
0.355,0.417868,0.0511979
0.365,0.328691,0.0471609
0.375,0.352454,0.0452885
0.385,0.378383,0.047265
0.395,0.382891,0.0434626
0.405,0.437026,0.0442675
0.415,0.381161,0.0428249
0.425,0.372757,0.0422093
0.435,0.345173,0.0400393
0.445,0.340673,0.0402407
0.455,0.422481,0.041701
0.465,0.328148,0.0403356
0.475,0.291432,0.0393703
0.485,0.269176,0.0400572
0.495,0.343845,0.041444
0.505,0.378321,0.042662
0.515,0.28844,0.0408531
0.525,0.311923,0.043519
0.535,0.262434,0.0414402
0.545,0.228266,0.0420858
0.555,0.296486,0.0438771
0.565,0.328278,0.0458943
0.575,0.18561,0.0436443
0.585,0.204906,0.0452396
0.595,0.299161,0.0487996
0.605,0.198755,0.0463296
0.615,0.157892,0.0484104
0.625,0.213801,0.0516045
0.635,0.226694,0.0530806
0.645,0.204552,0.0530134
0.655,0.200196,0.0555491
0.665,0.210831,0.0580846
0.675,0.23295,0.0610743
0.685,0.200193,0.0625413
0.695,0.0896768,0.0604517
0.705,0.202979,0.0678323
0.715,0.289378,0.0726208
0.725,0.250331,0.0783577
0.735,0.25003,0.0860314
0.745,0.00591642,0.622729
0.755,0.297374,0.121872
0.765,0,0.102892
0.775,0.202165,0.172568
0.785,2.21489e-14,0.622463
0.795,3.16762e-11,0.786016
