x,Q2 (GeV^2),rate (Hz),d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.415,6.38491,4043.19,0.385244,0.345246,0.338725,0.338725,0.374852,0.0408807,0.00646262,0.0103921,0.017345,0.00652136
0.425,6.50101,3988.25,0.376613,0.33804,0.332028,0.332028,0.366298,0.0402944,0.00641917,0.0103148,0.0172336,0.00601259
0.435,6.6045,4212.39,0.350687,0.330991,0.325424,0.325424,0.340524,0.0384852,0.00637615,0.0101625,0.0171106,0.00556696
0.445,6.7279,3999.52,0.34569,0.324028,0.318888,0.318888,0.335585,0.0386651,0.00633467,0.0101046,0.0170109,0.00514026
0.455,6.83717,3892.74,0.425767,0.317229,0.312477,0.312477,0.415326,0.0384824,0.00629358,0.0104409,0.0168977,0.00475184
0.465,6.95457,3684.26,0.333181,0.31052,0.306125,0.306125,0.323199,0.0387794,0.00625364,0.0099812,0.0167985,0.00439495
0.475,7.08566,3604.95,0.297628,0.303893,0.299835,0.299835,0.287838,0.0383745,0.00621488,0.00978957,0.0167144,0.0040581
0.485,7.20576,3287.82,0.273942,0.297396,0.293651,0.293651,0.264293,0.0394178,0.00617649,0.00964831,0.0166215,0.00374497
0.495,7.28311,3224.18,0.350045,0.291059,0.287573,0.287573,0.340079,0.0392803,0.00613744,0.00996524,0.0164917,0.00348577
0.505,7.43144,3010.47,0.384134,0.284711,0.281499,0.281499,0.374045,0.0397239,0.00610142,0.0100899,0.016432,0.00321217
0.515,7.55449,2924.78,0.293673,0.278485,0.275523,0.275523,0.284026,0.039542,0.00606513,0.00964744,0.0163495,0.00296264
0.525,7.67907,2534.8,0.321421,0.272457,0.269719,0.269719,0.311669,0.041684,0.00603012,0.00975173,0.016271,0.00273766
0.535,7.74254,2634.97,0.268039,0.266601,0.264041,0.264041,0.258563,0.0404589,0.00599382,0.00947527,0.0161403,0.00255966
0.545,7.86928,2388.06,0.234274,0.260551,0.258191,0.258191,0.224975,0.041725,0.00595896,0.00929902,0.016065,0.00235942
0.555,7.95595,2291.07,0.304224,0.254492,0.25232,0.25232,0.294642,0.0420331,0.00592269,0.00958189,0.0159567,0.00217243
0.565,8.07677,2088.79,0.334343,0.248769,0.246762,0.246762,0.324661,0.0432783,0.00588967,0.00968194,0.0158815,0.00200653
0.575,8.1677,1972.8,0.200271,0.243078,0.241224,0.241224,0.191183,0.0439565,0.00585582,0.00908787,0.0157822,0.00185461
0.585,8.26426,1822.31,0.217283,0.23746,0.235749,0.235749,0.208157,0.0450855,0.0058228,0.00912598,0.0156922,0.00171027
0.595,8.34906,1673.71,0.311743,0.231926,0.230349,0.230349,0.302235,0.0464596,0.00578993,0.00950845,0.015594,0.0015771
0.605,8.44157,1654.26,0.208904,0.226464,0.225014,0.225014,0.199873,0.0461375,0.00575777,0.00903121,0.0155026,0.00145052
0.615,8.53936,1417.27,0.168675,0.221077,0.219746,0.219746,0.159841,0.0491938,0.00572632,0.00883387,0.0154176,0.00133071
0.625,8.64159,1280.87,0.222761,0.215767,0.214549,0.214549,0.213727,0.0509815,0.00569573,0.00903421,0.0153418,0.00121719
0.635,8.70435,1206.98,0.236479,0.210558,0.209442,0.209442,0.227412,0.0520343,0.00566431,0.00906654,0.0152342,0.00111616
0.645,8.83888,1148.83,0.222289,0.205385,0.204374,0.204374,0.213288,0.0524179,0.00563566,0.00900062,0.0151844,0.00101169
0.655,8.90203,1026.47,0.2136,0.200344,0.199421,0.199421,0.204672,0.0550062,0.00560529,0.00892857,0.0150793,0.000922959
0.665,9.02385,919.257,0.234574,0.195349,0.194517,0.194517,0.22556,0.0571627,0.00557749,0.00901365,0.015026,0.000832542
0.675,9.12081,830.379,0.264464,0.190449,0.189698,0.189698,0.255331,0.0594044,0.00554929,0.00913286,0.014952,0.000750513
0.685,9.13794,763.912,0.218085,0.185682,0.185001,0.185001,0.209203,0.0617372,0.00551929,0.00888291,0.0148206,0.000680569
0.695,9.25982,710.694,0.106117,0.180954,0.180347,0.180347,0.0977263,0.0630511,0.00549305,0.00839107,0.0147694,0.000606734
0.705,9.32963,622.773,0.236185,0.176328,0.175787,0.175787,0.227241,0.0667255,0.0054658,0.00894428,0.0146825,0.000540944
0.715,9.46188,573.029,0.336046,0.171792,0.171315,0.171315,0.326667,0.0684395,0.00544112,0.00937857,0.0146426,0.000476882
0.725,9.55955,461.497,0.306455,0.167352,0.166934,0.166934,0.297214,0.0752479,0.00541604,0.00924135,0.014582,0.000418712
0.735,9.86995,354.727,0.338273,0.162941,0.162585,0.162585,0.328546,0.0826456,0.00539788,0.00972744,0.0146734,0.000356157
0.745,10.1475,230.833,0.078073,0.158682,0.15838,0.15838,0.069755,0.099194,0.00537926,0.00831801,0.0147362,0.000302278
0.755,10.4769,159.453,0.346017,0.15449,0.154238,0.154238,0.336657,0.114977,0.00536244,0.00936058,0.0148307,0.000251773
0.765,10.8256,97.6022,-0.017233,0.150447,0.150239,0.150239,-0.0252004,0.141572,0.00534663,0.00796745,0.0149304,0.000207585
0.775,11.2094,60.1226,0.266626,0.146501,0.146334,0.146334,0.25756,0.173467,0.00533194,0.00906607,0.0150433,0.000167761
0.785,11.534,20.6486,-0.0819681,0.142685,0.14255,0.14255,-0.0895615,0.286735,0.00531602,0.00759339,0.0151135,0.000134192
0.795,11.85,0.6123,-1.1165,0.139038,0.138932,0.138932,-1.12056,1.61627,0.00530055,0.00406181,0.0151737,0.000105667
