x,Q2 (GeV^2),rate (Hz),d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.175,3.01732,2.3683,6.05639,0.617269,0.564855,0.564855,5.98445,3.99749,0.00815115,0.0719389,0.0210623,0.0524144
0.185,3.17865,11.5346,0.907658,0.59894,0.550613,0.550613,0.890552,1.70634,0.00803394,0.0171065,0.0208316,0.0483272
0.195,3.32064,31.5448,-17.7649,0.581786,0.537152,0.537152,-18.2116,0.980505,0.00792342,0.446658,0.020582,0.0446339
0.205,3.46931,60.9027,1.43956,0.565335,0.524288,0.524288,1.42003,0.670702,0.00781857,0.0195385,0.0203582,0.0410467
0.215,3.63086,108.714,0.88753,0.549515,0.511956,0.511956,0.872521,0.476497,0.00771923,0.0150091,0.0201676,0.0375594
0.225,3.76411,168.155,0.65802,0.534826,0.500293,0.500293,0.644936,0.367313,0.00762543,0.0130839,0.0199428,0.034533
0.235,3.89483,330.464,0.462641,0.520867,0.489144,0.489144,0.450831,0.251754,0.00753655,0.0118108,0.0197266,0.0317223
0.245,4.04458,415.383,0.0584102,0.50736,0.478375,0.478375,0.0488191,0.215011,0.00745232,0.00959102,0.0195521,0.0289849
0.255,4.17425,656.15,0.34981,0.494683,0.468102,0.468102,0.338859,0.164903,0.00737222,0.0109512,0.0193558,0.0265804
0.265,4.3205,920.411,0.512076,0.482435,0.458165,0.458165,0.500388,0.133816,0.00729636,0.0116879,0.0191964,0.0242706
0.275,4.4809,1048.03,0.556956,0.470635,0.448536,0.448536,0.545013,0.120341,0.0072244,0.0119437,0.0190634,0.0220987
0.285,4.60615,1409.99,0.443648,0.459593,0.439337,0.439337,0.432432,0.100476,0.00715518,0.0112156,0.0188884,0.0202559
0.295,4.76582,1466.58,0.625384,0.448772,0.430329,0.430329,0.613226,0.0947912,0.00708975,0.0121579,0.0187693,0.0184425
0.305,4.87771,1960.82,0.534142,0.438663,0.421718,0.421718,0.522551,0.0797658,0.00702606,0.0115909,0.0185921,0.0169445
0.315,5.01927,2723.3,0.389168,0.428752,0.413264,0.413264,0.378248,0.0655151,0.00696557,0.0109196,0.0184607,0.0154878
0.325,5.15565,2736.97,0.379338,0.419236,0.405066,0.405066,0.36863,0.0633751,0.00690742,0.0107077,0.0183291,0.0141698
0.335,5.2923,3309.61,0.459112,0.410027,0.397054,0.397054,0.448054,0.0559427,0.00685134,0.0110576,0.0182023,0.0129735
0.345,5.44141,3657.92,0.452291,0.401077,0.389223,0.389223,0.441289,0.0515734,0.00679769,0.0110019,0.0180958,0.0118535
0.355,5.57793,3746.88,0.430368,0.392437,0.38158,0.38158,0.419512,0.0495145,0.00674556,0.0108568,0.0179819,0.0108571
0.365,5.72059,3891.52,0.334765,0.384032,0.374084,0.374084,0.324424,0.0472355,0.00669509,0.0103409,0.0178737,0.0099479
0.375,5.85624,4143.31,0.356273,0.375891,0.366767,0.366767,0.345874,0.0445769,0.0066461,0.0103988,0.0177635,0.00912393
0.385,6.00846,3687.6,0.38081,0.367893,0.359538,0.359538,0.370334,0.0458993,0.006599,0.010476,0.0176767,0.00835483
0.395,6.11023,4283.37,0.388237,0.360244,0.352528,0.352528,0.377757,0.041761,0.0065516,0.0104801,0.0175356,0.00771638
0.405,6.25917,4131.63,0.443784,0.352632,0.345559,0.345559,0.433069,0.0413511,0.00650707,0.0107143,0.0174548,0.00707272
