x,Q2 (GeV^2),rate (Hz),A_clean,A_noisy,A_simplified,dA_stat,dA_sys_uncor,dA_sys_cor,d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.175,2.5,0.8111,-0.000162236,-9.92912e-05,-0.000158688,0.000468453,4.58872e-07,7.2554e-07,-0.272044,0.63076,0.568414,0.568414,-0.280403,8.3461,0.0081754,0.00835874,0.0196876,-0.0623454
0.175,3.5,1.5572,-0.000230163,-0.000437429,-0.000226296,0.000338089,6.51e-07,1.02932e-06,6.51422,0.610018,0.562224,0.562224,6.44776,4.22269,0.00813091,0.0664515,0.0216172,-0.0477936
0.185,3.5,11.5346,-0.000228557,-0.000160154,-0.000224888,0.000124223,6.46457e-07,1.02214e-06,-0.122524,0.594058,0.548969,0.548969,-0.131541,1.54185,0.00802378,0.00901661,0.0212855,-0.045089
0.195,3.5,31.5449,-0.000226814,-0.000172584,-0.000223314,7.5117e-05,6.41527e-07,1.01434e-06,-0.00498842,0.579086,0.536286,0.536286,-0.014497,0.927312,0.00791959,0.00950859,0.0208741,-0.0427998
0.205,3.5,60.9027,-0.000224994,-0.000260596,-0.000221649,5.40611e-05,6.3638e-07,1.0062e-06,1.0486,0.564871,0.524146,0.524146,1.03353,0.664167,0.00781823,0.0150753,0.0204158,-0.0407253
0.215,3.5,108.714,-0.000223141,-0.00034842,-0.000219946,4.04631e-05,6.31139e-07,9.97918e-07,2.86137,0.551262,0.512509,0.512509,2.83374,0.494922,0.00771973,0.0276298,0.0199339,-0.0387526
0.225,3.5,168.155,-0.000221289,-0.000189744,-0.000218241,3.25348e-05,6.25901e-07,9.89636e-07,0.183923,0.538189,0.501354,0.501354,0.173702,0.396317,0.0076243,0.0102214,0.019445,-0.0368352
0.235,3.5,294.686,-0.000219461,-0.000217617,-0.000216559,2.45767e-05,6.2073e-07,9.81461e-07,0.503336,0.5256,0.49065,0.49065,0.491575,0.298218,0.00753207,0.0117616,0.0189602,-0.0349505
0.235,4.5,35.7774,-0.000285726,-0.000368871,-0.000282643,7.0534e-05,8.08156e-07,1.27781e-06,1.45187,0.515763,0.487189,0.487189,1.43456,0.657776,0.00753659,0.0173138,0.0204344,-0.0285734
0.245,3.5,157.858,-0.00021767,-0.000205035,-0.000214913,3.35791e-05,6.15665e-07,9.73452e-07,0.365679,0.513429,0.480341,0.480341,0.354697,0.405945,0.00744291,0.0109827,0.0184864,-0.0330887
0.245,4.5,257.525,-0.000283952,-0.000311966,-0.000281066,2.62902e-05,8.03138e-07,1.26987e-06,0.779585,0.503612,0.476978,0.476978,0.766345,0.244043,0.00745528,0.01324,0.0201394,-0.0266341
0.255,4.5,656.149,-0.000282114,-0.00026574,-0.000279403,1.64703e-05,7.9794e-07,1.26165e-06,0.345643,0.492077,0.467149,0.467149,0.334755,0.152255,0.00737634,0.0108877,0.0198115,-0.0249283
0.265,4.5,920.411,-0.000280241,-0.000274881,-0.000277688,1.39063e-05,7.92642e-07,1.25328e-06,0.432222,0.481052,0.457662,0.457662,0.42096,0.128066,0.00729963,0.0112629,0.019463,-0.0233899
0.275,4.5,1048.03,-0.000278356,-0.000291388,-0.000275949,1.30322e-05,7.87311e-07,1.24485e-06,0.593334,0.470458,0.448478,0.448478,0.581305,0.119595,0.00722506,0.0120289,0.0191034,-0.0219803
0.285,4.5,1399.02,-0.00027648,-0.000279141,-0.000274209,1.12795e-05,7.82003e-07,1.23645e-06,0.484745,0.460268,0.439596,0.439596,0.47334,0.103171,0.00715277,0.0114049,0.0187399,-0.0206715
0.285,5.5,10.9701,-0.000341238,-0.000195688,-0.000338846,0.000127379,9.65168e-07,1.52606e-06,-0.414723,0.455055,0.437357,0.437357,-0.422047,0.945851,0.00716684,0.00732401,0.0197765,-0.0176979
0.295,4.5,1315.62,-0.000274621,-0.000282982,-0.000272479,1.16316e-05,7.76745e-07,1.22814e-06,0.527972,0.450406,0.430959,0.430959,0.51641,0.106059,0.0070825,0.0115626,0.0183775,-0.0194475
0.295,5.5,150.969,-0.000339481,-0.000392838,-0.000337258,3.43368e-05,9.60198e-07,1.51821e-06,0.878282,0.445158,0.428774,0.428774,0.864794,0.253981,0.00710237,0.0134875,0.0195532,-0.0163838
0.305,4.5,1538.13,-0.000272793,-0.000263593,-0.000270773,1.07574e-05,7.71577e-07,1.21997e-06,0.358776,0.440876,0.422582,0.422582,0.348118,0.0977959,0.00701444,0.0106584,0.0180202,-0.0182937
0.305,5.5,422.691,-0.000337662,-0.000336201,-0.000335588,2.05207e-05,9.55051e-07,1.51007e-06,0.424944,0.43568,0.420449,0.420449,0.413895,0.151251,0.00703935,0.0110487,0.0193051,-0.0152315
0.315,4.5,1519.26,-0.000271,-0.0002693,-0.000269094,1.0824e-05,7.66503e-07,1.21195e-06,0.416256,0.431611,0.414404,0.414404,0.405373,0.0981185,0.00694829,0.0108833,0.0176704,-0.0172069
0.315,5.5,1204.04,-0.000335797,-0.00033132,-0.000333856,1.21586e-05,9.49777e-07,1.50173e-06,0.393883,0.426531,0.41232,0.41232,0.38304,0.0893231,0.00697755,0.0108435,0.0190394,-0.0142112
0.325,4.5,915.344,-0.000269248,-0.000273675,-0.000267452,1.39448e-05,7.61548e-07,1.20411e-06,0.46301,0.422625,0.40645,0.40645,0.451952,0.126057,0.0068842,0.0110571,0.0173301,-0.0161755
0.325,5.5,1821.62,-0.000333911,-0.000320997,-0.000332091,9.88493e-06,9.44443e-07,1.4933e-06,0.325101,0.417703,0.404412,0.404412,0.314643,0.072398,0.00691717,0.010458,0.0187624,-0.0132901
0.335,4.5,320.694,-0.000267537,-0.000274851,-0.000265845,2.3559e-05,7.56709e-07,1.19646e-06,0.4808,0.413865,0.398661,0.398661,0.469712,0.212391,0.00682192,0.0110885,0.0170002,-0.0152035
0.335,5.5,2987.34,-0.000332014,-0.000340239,-0.000330303,7.71899e-06,9.39076e-07,1.48481e-06,0.470024,0.409126,0.396669,0.396669,0.458907,0.0563712,0.00685801,0.0111173,0.0184785,-0.012457
0.335,6.5,1.5717,-0.00039546,0.00021353,-0.000393671,0.000336526,1.11853e-06,1.76855e-06,-1.61753,0.406069,0.3951,0.3951,-1.62071,2.06804,0.00687366,0.00317344,0.019249,-0.0109696
0.345,5.5,3564.47,-0.00033012,-0.000325151,-0.000328511,7.06651e-06,9.3372e-07,1.47634e-06,0.364906,0.400798,0.389108,0.389108,0.354354,0.0514647,0.00680019,0.0105518,0.0181917,-0.0116893
0.345,6.5,93.4428,-0.00039371,-0.000354281,-0.000392051,4.36446e-05,1.11358e-06,1.76073e-06,0.16879,0.397709,0.387572,0.387572,0.159122,0.26731,0.00682036,0.00966798,0.019071,-0.0101364
0.355,5.5,3508.78,-0.000328237,-0.000312634,-0.000326721,7.12238e-06,9.28395e-07,1.46792e-06,0.282192,0.392679,0.381696,0.381696,0.272083,0.051735,0.00674361,0.010109,0.0179046,-0.0109826
0.355,6.5,238.094,-0.000391893,-0.00036566,-0.000390348,2.73419e-05,1.10844e-06,1.7526e-06,0.235075,0.389602,0.380192,0.380192,0.225137,0.16694,0.00676773,0.00993722,0.0188736,-0.00940945
0.365,5.5,3191.23,-0.000326372,-0.000320416,-0.000324943,7.46834e-06,9.23119e-07,1.45958e-06,0.342016,0.384748,0.374421,0.374421,0.331671,0.0541101,0.00668824,0.0103452,0.0176195,-0.0103269
0.365,6.5,700.285,-0.000390026,-0.000374093,-0.000388583,1.59428e-05,1.10316e-06,1.74425e-06,0.286824,0.381715,0.372948,0.372948,0.276684,0.0970566,0.00671579,0.0101396,0.0186614,-0.00876718
0.375,5.5,2991.83,-0.000324532,-0.000318666,-0.000323185,7.7132e-06,9.17915e-07,1.45135e-06,0.335017,0.377009,0.3673,0.3673,0.324752,0.0557467,0.00663417,0.0102649,0.0173383,-0.00970994
0.375,6.5,1151.48,-0.000388127,-0.000389993,-0.000386776,1.2433e-05,1.09779e-06,1.73576e-06,0.385403,0.374044,0.365856,0.365856,0.374835,0.0754805,0.00666468,0.0105671,0.0184388,-0.0081882
0.385,5.5,2096.73,-0.000322717,-0.000314294,-0.000321446,9.21364e-06,9.12781e-07,1.44323e-06,0.30952,0.369416,0.360276,0.360276,0.299422,0.0664307,0.00658118,0.0100987,0.0170619,-0.0091393
0.385,6.5,1590.86,-0.000386205,-0.000399003,-0.000384936,1.05776e-05,1.09235e-06,1.72716e-06,0.445424,0.366535,0.358862,0.358862,0.434611,0.0640474,0.00661422,0.0108129,0.0182086,-0.00767263
