x,d_V,u_V,s_V,c_V,d_p,u_p,s_p,c_p,dV/uV,d,dbar,u,ubar,s,sbar,c,cbar,d_unc,dbar_unc,u_unc,ubar_unc,s_unc,sbar_unc,c_unc,cbar_unc,(dV/uV)_unc
0.175,0.32009967274315504,0.6541594244984403,0.0,0.0,0.4780786331167091,0.7628867051511936,0.050451473912842056,0.007520267858547758,0.48932975778585336,0.3990891529299321,0.07898948018677705,0.708523064824817,0.0543636403263766,0.025225736956421028,0.025225736956421028,0.003760133929273879,0.003760133929273879,0.019331484705178197,0.013186846567197673,0.01988286870376963,0.00919568152296115,0.011453957303584865,0.011453957303584865,0.0004200371910319685,0.0004200371910319685,0.03934695868152767
0.185,0.316825096132052,0.6579345379111065,0.0,0.0,0.4599596819578847,0.7570528862759939,0.045643227904556494,0.0072962723391393775,0.48154501379111103,0.38839238904496837,0.07156729291291637,0.7074937120935502,0.04955917418244372,0.022821613952278247,0.022821613952278247,0.0036481361695696888,0.0036481361695696888,0.018993837441974814,0.012543722642738167,0.018866435230198878,0.00878570576391136,0.01068782679224317,0.01068782679224317,0.00042771970353111294,0.00042771970353111294,0.037801053760227084
0.195,0.31395549368248865,0.6615411096569046,0.0,0.0,0.4442564418973063,0.7522782652448032,0.04117730878596896,0.006632757857707806,0.47458198606178165,0.37910596778989747,0.06515047410740879,0.7069096874508539,0.04536857779394927,0.02058865439298448,0.02058865439298448,0.003316378928853903,0.003316378928853903,0.018711139412717032,0.012017571331176508,0.01805541763345175,0.008515471379965467,0.010058327261182198,0.010058327261182198,0.0004092735737020172,0.0004092735737020172,0.036538895850866185
0.205,0.31020240308933833,0.6633014965117082,0.0,0.0,0.4286677659411706,0.7463641916777953,0.037097520218034336,0.0060426046123935075,0.4676642593461461,0.3694350845152545,0.059232681425916166,0.7048328440947518,0.041531347583043596,0.018548760109017168,0.018548760109017168,0.0030213023061967537,0.0030213023061967537,0.01835323795393411,0.01150028932782853,0.017296652120204425,0.008283356739168461,0.009460381628590782,0.009460381628590782,0.0003925983350733844,0.0003925983350733844,0.035341701277476024
0.215,0.30565350956188103,0.663321251059048,0.0,0.0,0.41322705236849694,0.7393472161287622,0.03337398919704773,0.005515212826788322,0.46079257836814297,0.359440280965189,0.05378677140330793,0.7013342335939051,0.038012982534857125,0.016686994598523866,0.016686994598523866,0.002757606413394161,0.002757606413394161,0.0179293714212241,0.010992148102571495,0.01659487483186593,0.008069983279042328,0.008892496710738745,0.008892496710738745,0.00037729311895804833,0.00037729311895804833,0.03419851163302847
0.225,0.3003805722993953,0.6616723359308445,0.0,0.0,0.3979629668292486,0.7312422807417818,0.0299828913890309,0.0050414090938204195,0.4539717863174953,0.34917176956432194,0.048791197264926624,0.6964573083363131,0.03478497240546857,0.01499144569451545,0.01499144569451545,0.0025207045469102097,0.0025207045469102097,0.01745180612398201,0.010494643835507994,0.015952652827226795,0.007860408811774022,0.00835505111211744,0.00835505111211744,0.00036307594272095553,0.00036307594272095553,0.03310740424670463
0.235,0.2929209289373574,0.6558404807155092,0.0,0.0,0.38079935950499716,0.719183335686642,0.02689953221260424,0.004837144970665138,0.44663441423711203,0.33686014422117727,0.0439392152838199,0.6875119082010756,0.03167142748556635,0.01344976610630212,0.01344976610630212,0.002418572485332569,0.002418572485332569,0.016805054252518044,0.009931882645916714,0.015267587315324042,0.007591397972006329,0.0077830377614125194,0.0077830377614125194,0.0003665005207971435,0.0003665005207971435,0.031949013730169236
0.245,0.2817547358230967,0.6428713532215911,0.0,0.0,0.3597926360483668,0.6999380048560422,0.024076994134290455,0.004996712565735704,0.43827545652975886,0.32077368593573174,0.039018950112635085,0.6714046790388166,0.02853332581722561,0.012038497067145227,0.012038497067145227,0.002498356282867852,0.002498356282867852,0.015890520110430236,0.009240918997176967,0.014462989496408145,0.0072075047507087365,0.007127648444563321,0.007127648444563321,0.00039811705868114905,0.00039811705868114905,0.03064265115863063
0.255,0.27265450253708734,0.6326531095932211,0.0,0.0,0.3426192619309437,0.6844300873926525,0.021520676844985334,0.004777420191511275,0.4309699871899734,0.30763688223401553,0.03498237969692816,0.6585415984929368,0.025888488899715775,0.010760338422492667,0.010760338422492667,0.0023887100957556374,0.0023887100957556374,0.015183671316071134,0.008694854626338224,0.013898829392872448,0.006900012426041113,0.006615323186132306,0.006615323186132306,0.00040077578892576675,0.00040077578892576675,0.02960776823614372
0.265,0.2650672011010831,0.6245794174191661,0.0,0.0,0.32824429979915476,0.6718176853712774,0.019220471457532938,0.004373582937566293,0.42439310952059744,0.29665575045011894,0.03158854934903582,0.6481985513952218,0.023619133976055643,0.009610235728766469,0.009610235728766469,0.0021867914687831464,0.0021867914687831464,0.014626604125731794,0.008246641837132715,0.013502777656303505,0.006641321163891247,0.006200095535590542,0.006200095535590542,0.00038642647723844813,0.00038642647723844813,0.028762732324828174
0.275,0.25713915954529337,0.6153776881913564,0.0,0.0,0.3141425994744151,0.6584456311494868,0.017142709966816074,0.0040045765121876666,0.41785583793433534,0.28564087950985423,0.02850171996456087,0.6369116596704216,0.021533971479065234,0.008571354983408037,0.008571354983408037,0.0020022882560938333,0.0020022882560938333,0.014080935972733995,0.007807913017573596,0.013155021298998969,0.006368103219310931,0.005807602163034005,0.005807602163034005,0.0003727165191122648,0.0003727165191122648,0.027983024972842212
0.285,0.24885393139799306,0.604960115694365,0.0,0.0,0.3002283050585147,0.6441848565967939,0.01526797204810163,0.003672672185241645,0.4113559306506709,0.2745411182282539,0.02568718683026084,0.6245724861455795,0.019612370451214403,0.007633986024050815,0.007633986024050815,0.0018363360926208225,0.0018363360926208225,0.013554444306640968,0.007377890372590245,0.012847982062382447,0.006082419760511758,0.005435282930992017,0.005435282930992017,0.0003603113907787825,0.0003603113907787825,0.02727946599257229
0.295,0.23943741192087872,0.5917789356345734,0.0,0.0,0.2855164531168415,0.6273548539773376,0.013574926965871691,0.003426800957633739,0.4046061755546037,0.2624769325188601,0.023039520597981387,0.6095668948059555,0.01778795917138211,0.0067874634829358455,0.0067874634829358455,0.0017134004788168695,0.0017134004788168695,0.013004369636581511,0.006924161730696156,0.012539048494753357,0.005759838588446797,0.005057238473303409,0.005057238473303409,0.0003546773401308657,0.0003546773401308657,0.026623537815226937
0.305,0.22983239564824215,0.5775788003435015,0.0,0.0,0.2711150525434933,0.6098047256849838,0.012052183954073613,0.003194270759621583,0.3979238772468011,0.2504737240958677,0.020641328447625576,0.5936917630142426,0.016112962670741172,0.006026091977036806,0.006026091977036806,0.0015971353798107915,0.0015971353798107915,0.01250176993412601,0.006485393855488971,0.012267010915932275,0.005434308064526281,0.004701227721885622,0.004701227721885622,0.00034919867291845766,0.00034919867291845766,0.026077501530002455
0.315,0.2194675446590226,0.5611832995401939,0.0,0.0,0.2563057691536638,0.5902639501363459,0.010682634639688554,0.0030054631049897217,0.39107996413799834,0.23788665690634322,0.018419112247320613,0.5757236248382699,0.014540325298076081,0.005341317319844277,0.005341317319844277,0.0015027315524948608,0.0015027315524948608,0.012017115665710412,0.0060380779300535205,0.011999586795862622,0.0050882920177465546,0.00434847447103765,0.00434847447103765,0.0003474703086022255,0.0003474703086022255,0.025628590965285553
